empresa,rol_objetivo,ciudad,tipo,tamaño_eventos_año,pain_point,propuesta_valor,prioridad,email_pattern,timing_contacto,notas
"Festival Internacional de Benicàssim (FIB) — Área de Comunicación","Director de Comunicación","Benicàssim (Castellón)","Promotor — área específica",1,"Visibilidad en comunicaciones del festival para activación de usuarios de ConcertRide","Co-comunicación: ConcertRide mencionado en todos los emails del festival a sus asistentes",4,"prensa@fiberfib.com","Feb-Mar 2026","Además del Director de Operaciones, contactar al de Comunicación para activación de usuarios."
"Renfe Cercanías — Área de Eventos","Responsable de Acuerdos con Eventos","Madrid","Transporte Público",100,"Trenes de Cercanías colapsados en salida de eventos grandes (Bernabéu, WiZink, Metropolitano)","Datos de demanda de ConcertRide para coordinar refuerzos de Cercanías + co-comunicación",3,"atencionalcliente@renfe.es","Q3 2026","Renfe tiene incentivo de gestionar mejor la demanda de Cercanías en eventos. Acuerdo de datos."
"Metro de Madrid — Área de Movilidad en Eventos","Responsable de Planificación de Eventos","Madrid","Transporte Público",80,"Metro colapsa en salida de eventos en zonas como IFEMA, WiZink, Metropolitano","Datos de flujo de demanda de ConcertRide para anticipar refuerzos + co-marketing en app de Metro",3,"movilidad@metromadrid.es","Q3 2026","Metro de Madrid puede beneficiarse de datos de demanda. Acuerdo de co-información."
"Turespaña — Área de Turismo Cultural y de Eventos","Responsable de Eventos Internacionales","Madrid","Administración / Turismo","N/A","El turismo de festivales atrae visitantes internacionales que necesitan soluciones de transporte","ConcertRide como herramienta oficial de movilidad para turistas que asisten a festivales en España",2,"info@tourspain.es","Q3-Q4 2026","Turespaña puede co-financiar o co-promocionar ConcertRide como solución de turismo de música."
"ICEX — Área de Internacionalización de Startups","Director de Programas Tech","Madrid","Administración / Apoyo institucional","N/A","ICEX apoya la internacionalización de startups españolas","Apoyo para expansión a Portugal, Francia e Italia en año 2 a través de programas de internacionalización",2,"info@icex.es","Q4 2026","No es un cliente sino un posible apoyo institucional para la expansión."
"Asociación de Promotores Musicales (APM)","Director General","Madrid","Asociación sectorial","N/A","APM representa a los promotores de música en España; busca soluciones para el sector","Presentar ConcertRide en la jornada anual de APM como solución de movilidad para el sector",3,"info@apmusicales.com","Q2 2026","APM puede hacer de prescriptor ante sus asociados. Una presentación en su evento = visibilidad ante 50+ promotores."
"Promusicae","Director de Proyectos","Madrid","Asociación sectorial","N/A","Promusicae representa a las discográficas y la industria musical en España","Colaboración en estudios de impacto del sector: ConcertRide aportando datos de movilidad en eventos",2,"info@promusicae.es","Q3 2026","No es cliente directo; puede ser prescriptor o fuente de datos para el análisis de mercado."
"Eventim Spain","Head of Partnerships","Madrid","Ticketing",200,"Ticketing alemán con presencia en España; sin diferencial local en experiencia del fan","Integración de transporte como servicio adicional para promotores españoles que usan Eventim",3,"info@eventim.es","Q2-Q3 2026","Eventim tiene fuerte presencia en Europa; integración puede dar acceso a otros mercados."
"See Tickets Spain","Director de Operaciones","Madrid","Ticketing",100,"Plataforma de ticketing internacional sin adaptación a necesidades locales de movilidad","Widget de transporte en checkout; partnership para eventos en España",3,"info@seetickets.es","Q2-Q3 2026","See Tickets es relevante en España para ciertos promotores."
"Telecomunicaciones Vodafone — Patrocinios Music","Head of Music Partnerships","Madrid","Patrocinador / Marca",20,"Vodafone Yu Music Fest y otros eventos patrocinados; activación digital fuera del recinto","Vodafone-branded carpooling; descuento en rides para clientes de Vodafone; datos de activación",3,"patrocinios@vodafone.es","Q2-Q3 2026","Vodafone tiene un programa de music sponsorships activo (Vodafone Yu)."
"Amazon Music Spain","Head of Partnerships / Events","Madrid","Patrocinador / Marca",10,"Amazon Music patrocina eventos de música; busca activaciones digitales para usuarios Prime","Integración de playlist de Amazon Music en ConcertRide durante el viaje; activación para usuarios Prime",3,"info@amazon.es","Q3 2026","Amazon Music está invirtiendo en el sector de música en vivo en España."
"Spotify Spain","Head of Brand Partnerships","Madrid","Patrocinador / Marca",15,"Spotify patrocina festivales y tiene datos de música de los fans; potencial de cross-promotion","Integration entre Spotify (playlist del festival) y ConcertRide (viaje al festival); co-marketing",3,"info@spotify.com","Q3 2026","Spotify ya tiene integración de playlists de festivales. ConcertRide puede ser el componente de movilidad."
"Fundació Joan Miró — Concerts al Pati","Director de Programación","Barcelona","Venue / Cultural",8,"Conciertos en espacio exterior limitado de Barcelona; asistentes de toda la ciudad sin parking","Carpooling entre asistentes + comunicación de transporte en los emails de los conciertos del Fundació",2,"info@fundaciomiro.es","Q3 2026","Venue cultural pequeño; deal pequeño pero útil para ganar presencia en el segmento cultural de Barcelona."
"Palau de la Música Catalana","Director de Operaciones","Barcelona","Venue / Cultural",50,"Sala en el barrio gótico de Barcelona; sin aparcamiento; asistentes de toda la ciudad","Carpooling para asistentes al Palau + integración en su comunicación digital",3,"info@palaumusica.cat","Q2-Q3 2026","Venue icónico de Barcelona con alta frecuencia de eventos."
"Gran Teatro del Liceu","Jefe de Producción","Barcelona","Venue / Cultural",40,"Opera house en Las Ramblas; sin parking; público de alto poder adquisitivo","Carpooling premium (Tesla, BMW) para el público del Liceu + integración discreta en comunicaciones",2,"info@liceubarcelona.cat","Q3 2026","Venue de ópera; público diferente pero pain point de transporte igual."
"Teatro Real","Director de Gestión","Madrid","Venue / Cultural",50,"Teatro de ópera en el centro de Madrid; asistentes de toda la región; sin parking propio","Carpooling premium desde distintas zonas de Madrid + comunicación en emails del Teatro Real",2,"info@teatroreal.es","Q3 2026","Venue de ópera de Madrid. Público premium; potencial de carpooling de alta gama."
"Madrid Arena","Director de Operaciones","Madrid","Venue",30,"Pabellón de eventos en Casa de Campo; zona con transporte público limitado y parking lejos","Carpooling coordinado desde el centro de Madrid + gestión de flujo de salida",3,"info@madridarena.es","Q2-Q3 2026","Venue multipropósito activo en Madrid."
"O Marisquiño","Director de Producción","Vigo (Galicia)","Promotor",1,"Festival urbano en Vigo con asistentes de Galicia, Portugal y norte de España","Carpooling desde Pontevedra, Ourense, Porto y A Coruña + gestión de transporte local",3,"info@omarisquino.com","Mar-May 2026","Festival único de cultura urbana en Vigo."
"Palencia Sonora","Director de Producción","Palencia (Castilla y León)","Promotor",1,"Festival en ciudad pequeña con asistentes de Valladolid, Burgos, León y Santander","Carpooling desde ciudades cercanas de Castilla y León y Cantabria",3,"info@palenciasonora.com","Mar-Abr 2026","Festival en ciudad mediana de Castilla. Pain point de transporte muy claro."
"Brincando Festival","Director de Operaciones","Madrid","Promotor",5,"Festival familiar en el Parque Warner; transporte desde distintos barrios de Madrid con familias","Carpooling familiar + shuttle desde estaciones de metro sur de Madrid",3,"info@brincandofestival.es","Mar-Abr 2026","Festival familiar; diferente segmento pero mismo pain point de transporte."
"Dcode Festival (versión otoño)","Head of Operations","Madrid","Promotor",1,"Segunda edición de DCode en otoño; menor tracción pero mismo venue","Carpooling desde el centro de Madrid + coordinación con Cercanías hacia Ciudad Universitaria",3,"info@dcodefest.com","Jun-Jul 2026","Repetición del contacto para la edición de otoño de DCode si la de verano es exitosa."
"Escenario Santander","Director de Producción","Santander (Cantabria)","Promotor",1,"Festival en Santander con asistentes del País Vasco, Asturias y Madrid","Carpooling interregional + shuttle desde Santander centro al recinto del festival",3,"info@escenariosantander.com","Mar-Abr 2026","Festival en el norte de España; mercado menos atendido."
"Azuloscurocasinegro Producciones","Director","Madrid","Promotor",15,"Promotora indie de Madrid con conciertos en La Riviera, Joy y otros venues medianos","Carpooling para sus conciertos + widget de transporte en sus emails de venta de entradas",2,"info@azuloscurocasinegro.es","Q2 2026","Promotora indie activa en Madrid. Deal pequeño pero genera tracción de usuarios afines."
"Cardamom Concerts","Director Artístico / BD","Barcelona","Promotor",20,"Promotora de Barcelona con catálogo de jazz, electrónica y pop; sin solución de transporte","Widget de transporte en sus comunicaciones de venta de entradas; carpooling entre fans",2,"info@cardamomconcerts.com","Q2 2026","Promotora mediana de Barcelona. Buen perfil de usuario para ConcertRide."
"MiTicket","Head of Partnerships","Madrid","Ticketing",60,"Plataforma de ticketing española pequeña; sin diferencial vs. grandes plataformas","Widget de transporte como servicio de valor añadido que pueden ofrecer a sus clientes promotores",2,"info@miticket.es","Q3 2026","Plataforma pequeña pero nacional. Acuerdo de bajo coste para ganar presencia."
"Xtrategies / Clúster de Música de Cataluña","Director","Barcelona","Asociación sectorial","N/A","Asociación de la industria musical de Cataluña; conectada con promotores y venues locales","Presentación de ConcertRide en evento del clúster + acceso a red de promotores catalanes",2,"info@musiccat.cat","Q2 2026","Clúster de música de Cataluña puede ser prescriptor importante en el mercado catalán."
"Elrow","Head of Partnerships","Barcelona","Promotor / Venue",40,"Experiencias de electrónica en localizaciones especiales (Elrow Town, giras internacionales)","Branded carpooling para experiencias de Elrow; transporte como parte del journey del asistente",3,"info@elrow.com","Q2-Q3 2026","Elrow es una marca de experiencias de música electrónica con alcance internacional."
"Tomorrowland Spain / Palco 12 (Spain rep)","Head of BD","Madrid","Promotor representante","N/A","Representante de Tomorrowland en España; vende paquetes de viaje + entrada a asistentes españoles","Widget de transporte local en España para los que compran el paquete de Tomorrowland",2,"info@tomorrowland.es","Q3-Q4 2026","Tomorrowland tiene una gran base de fans en España. Propuesta de transporte desde aeropuertos en España."
"Turismo y Eventos de Benicàssim","Regidora de Turismo","Benicàssim (Castellón)","Municipio / Administración","N/A","Benicàssim recibe 3 festivales en verano (FIB, SanSan, Rototom); la movilidad es un problema municipal real","ConcertRide como herramienta municipal de movilidad para la temporada de festivales; co-financiación con los promotores",3,"turismo@benicassim.es","Feb-Mar 2026","El Ayuntamiento de Benicàssim tiene interés directo en resolver el problema de transporte de sus festivales."
"Agencia EFE (contacto de prensa)","Periodista especializado en música y tecnología","Madrid","Medios","N/A","Los medios buscan historias de startups con impacto en el sector musical o de movilidad","Nota de prensa de lanzamiento de piloto; entrevista sobre el modelo de negocio y la propuesta de valor",2,"prensa@efe.com","Q2 2026","No es un cliente sino un medio para ganar visibilidad. Un artículo en EFE puede facilitar el outreach B2B."
"Playground Magazine","Editor de Contenido","Barcelona","Medios especializados música","N/A","Medio líder de música alternativa en España; conectado con el target de usuario de ConcertRide","Nota de prensa o artículo patrocinado sobre ConcertRide para generar awareness entre el target B2C",2,"info@playgroundmag.net","Q2 2026","Medio de referencia para el target de usuario de ConcertRide. Puede generar awareness B2C."
